#seq_name	length	coverage
contig_1	85725	10
contig_10	126230	10
contig_100	53735	7
contig_101	28304	8
contig_102	27225	9
contig_103	53289	8
contig_104	34105	5
contig_105	95356	8
contig_106	29504	11
contig_107	10462	4
contig_108	16919	6
contig_109	7278	3
contig_11	75592	7
contig_110	23038	6
contig_111	30199	12
contig_112	43639	6
contig_113	10336	7
contig_114	30521	7
contig_115	34080	7
contig_116	51072	5
contig_117	13655	7
contig_118	39222	11
contig_119	22865	16
contig_12	53545	10
contig_120	19920	6
contig_121	43652	5
contig_122	15720	13
contig_123	44218	8
contig_124	14128	9
contig_125	14121	8
contig_126	53450	8
contig_127	27425	6
contig_128	32638	5
contig_129	42855	6
contig_13	59869	11
contig_130	78798	6
contig_131	41297	7
contig_132	12142	9
contig_133	38484	10
contig_134	16732	9
contig_135	22426	7
contig_136	22535	8
contig_137	30133	3
contig_138	8221	5
contig_139	8756	5
contig_14	21502	6
contig_140	25421	6
contig_141	22185	7
contig_142	12730	11
contig_143	24774	6
contig_144	302365	10
contig_145	18656	3
contig_146	22256	7
contig_147	19163	7
contig_148	45699	10
contig_149	31139	6
contig_15	34955	8
contig_150	73908	9
contig_151	40838	10
contig_152	22605	5
contig_153	13029	5
contig_154	10412	3
contig_155	17125	4
contig_156	23793	9
contig_157	69679	7
contig_158	40371	10
contig_159	11520	10
contig_16	70013	10
contig_160	16299	6
contig_161	10055	12
contig_162	25889	8
contig_163	19319	4
contig_164	92022	11
contig_165	32749	9
contig_166	34850	10
contig_167	12982	7
contig_168	23833	9
contig_169	32068	7
contig_17	65338	11
contig_170	16113	9
contig_171	11577	4
contig_172	16771	10
contig_173	47064	9
contig_174	20451	8
contig_175	24829	4
contig_176	19625	5
contig_177	17782	4
contig_178	28070	10
contig_179	88165	7
contig_18	23208	9
contig_180	25173	8
contig_181	87529	13
contig_182	7779	10
contig_183	19607	7
contig_184	7361	5
contig_185	15197	8
contig_186	15658	9
contig_187	6277	3
contig_188	19806	10
contig_189	43910	4
contig_19	133796	11
contig_190	10472	7
contig_191	25260	4
contig_192	18032	8
contig_193	27862	11
contig_194	21486	6
contig_195	15385	7
contig_196	16877	4
contig_197	21519	8
contig_198	22291	11
contig_199	48736	10
contig_2	20389	5
contig_20	97722	11
contig_200	15914	17
contig_201	61837	10
contig_202	20619	5
contig_203	30772	9
contig_204	11416	6
contig_205	20096	7
contig_206	22370	6
contig_207	14854	7
contig_208	18804	6
contig_209	10884	9
contig_21	11073	3
contig_210	15365	6
contig_211	9916	3
contig_212	43821	8
contig_213	13824	5
contig_214	16269	9
contig_215	79592	12
contig_216	21368	8
contig_217	22636	5
contig_218	9636	8
contig_219	10470	8
contig_22	11292	5
contig_220	21153	3
contig_221	29686	8
contig_222	7019	5
contig_223	14966	5
contig_224	15133	4
contig_225	40975	7
contig_226	11526	9
contig_227	41439	16
contig_228	18475	3
contig_229	15475	5
contig_23	25511	8
contig_230	26141	8
contig_231	11406	4
contig_232	19865	6
contig_233	22303	9
contig_234	17124	4
contig_235	6098	4
contig_236	193863	10
contig_237	14399	7
contig_238	37517	6
contig_239	16922	4
contig_24	27929	6
contig_240	37900	4
contig_241	22847	7
contig_242	16619	5
contig_243	27108	8
contig_244	15006	3
contig_245	156224	9
contig_246	10990	3
contig_247	15406	6
contig_248	21152	6
contig_249	9614	3
contig_25	71077	8
contig_250	14188	7
contig_251	21627	4
contig_252	67466	9
contig_253	33739	5
contig_254	10059	9
contig_255	16942	6
contig_256	8674	8
contig_257	53496	10
contig_258	13028	5
contig_259	41428	6
contig_26	11355	8
contig_260	11957	3
contig_261	18615	7
contig_262	9816	7
contig_263	35422	5
contig_264	12523	4
contig_265	17384	8
contig_266	18688	7
contig_267	75714	12
contig_268	7512	4
contig_269	17349	3
contig_27	20759	8
contig_270	11641	7
contig_271	17450	6
contig_272	9738	3
contig_273	57455	10
contig_274	18546	6
contig_275	11847	5
contig_276	20468	9
contig_277	140921	10
contig_278	26917	5
contig_279	9929	5
contig_28	45356	11
contig_280	9776	9
contig_281	46595	8
contig_282	17790	11
contig_283	15249	5
contig_284	42335	9
contig_285	7561	4
contig_286	8581	4
contig_287	69815	11
contig_288	12997	5
contig_289	9629	4
contig_29	117432	10
contig_290	136132	12
contig_291	12652	13
contig_292	10160	4
contig_293	15857	8
contig_294	35810	10
contig_295	17946	4
contig_296	18824	3
contig_297	33043	5
contig_298	9922	8
contig_299	12456	5
contig_3	18836	5
contig_30	70388	12
contig_300	40396	7
contig_301	10613	7
contig_302	9164	5
contig_303	9261	5
contig_304	17299	7
contig_305	20485	8
contig_306	11004	4
contig_307	18400	6
contig_308	14061	7
contig_309	10755	6
contig_31	34914	7
contig_310	18445	10
contig_311	7129	4
contig_312	10265	3
contig_313	16687	4
contig_314	165042	7
contig_315	10709	6
contig_316	12837	5
contig_317	12742	5
contig_318	62798	10
contig_319	18750	10
contig_32	36850	9
contig_320	32964	9
contig_321	6938	7
contig_322	9539	3
contig_323	15873	9
contig_324	73021	9
contig_325	52932	8
contig_326	15193	7
contig_327	47402	8
contig_328	21025	10
contig_329	18668	6
contig_33	91770	10
contig_330	199549	10
contig_331	10971	5
contig_332	94658	12
contig_333	21916	7
contig_334	20331	12
contig_335	90424	10
contig_336	63909	9
contig_337	12048	7
contig_338	14034	5
contig_339	25786	10
contig_34	45475	8
contig_340	18742	4
contig_341	62739	6
contig_342	12568	3
contig_343	60312	9
contig_344	65887	6
contig_345	15924	6
contig_346	7853	4
contig_347	105751	11
contig_348	17607	4
contig_349	54778	10
contig_35	11760	6
contig_350	12286	6
contig_351	24045	4
contig_352	12699	11
contig_353	38836	6
contig_354	17648	6
contig_355	51863	6
contig_36	147390	10
contig_37	50881	9
contig_38	45213	6
contig_39	52735	8
contig_4	120035	11
contig_40	150101	8
contig_41	29956	7
contig_42	139034	12
contig_43	11177	4
contig_44	36304	9
contig_45	49463	7
contig_46	48275	6
contig_47	97032	8
contig_48	37034	10
contig_49	49303	10
contig_5	31113	6
contig_50	14916	6
contig_51	31874	8
contig_52	28627	6
contig_53	8830	5
contig_54	25860	8
contig_55	62490	9
contig_56	37963	8
contig_57	47558	11
contig_58	27345	8
contig_59	21216	6
contig_6	77376	12
contig_60	44817	8
contig_61	20084	8
contig_62	25491	7
contig_63	25496	10
contig_64	91546	11
contig_65	70852	8
contig_66	91687	9
contig_67	54333	9
contig_68	116412	9
contig_69	8414	6
contig_7	101623	13
contig_70	51350	14
contig_71	9969	5
contig_72	105901	11
contig_73	14850	10
contig_74	24057	6
contig_75	80039	6
contig_76	21773	15
contig_77	43033	10
contig_78	45287	8
contig_79	55363	9
contig_8	44808	7
contig_80	30051	7
contig_81	13774	5
contig_82	14110	5
contig_83	36983	7
contig_84	54640	11
contig_85	59241	8
contig_86	13551	6
contig_87	67725	11
contig_88	16257	8
contig_89	22784	5
contig_9	19569	9
contig_90	34445	5
contig_91	11274	4
contig_92	64119	11
contig_93	25668	9
contig_94	59378	9
contig_95	81230	13
contig_96	23691	7
contig_97	21902	10
contig_98	36378	10
contig_99	13461	6
