#seq_name	length	coverage	circular	repeat	mult	telomere	alt_group	graph_path
contig_1	81207	6	N	N	1	both	*	1
contig_2	19520	4	N	N	1	both	*	2
contig_3	17184	3	N	N	1	both	*	3
contig_4	113397	6	N	N	1	both	*	4
contig_5	29307	4	N	N	1	both	*	5
contig_6	73399	7	N	N	1	both	*	6
contig_8	42568	5	N	N	1	both	*	8
contig_10	118956	6	N	N	1	both	*	10
contig_11	71339	4	N	N	1	both	*	11
contig_12	50553	6	N	N	1	both	*	12
contig_13	56952	7	N	N	1	both	*	13
contig_14	20223	3	N	N	1	both	*	14
contig_15	32869	7	N	N	1	both	*	15
contig_16	66911	6	N	N	1	both	*	16
contig_17	62067	7	N	N	1	both	*	17
contig_18	22007	6	N	N	1	both	*	18
contig_20	92774	6	N	N	1	both	*	20
contig_21	10816	3	N	N	1	both	*	21
contig_22	10484	4	N	N	1	both	*	22
contig_23	24326	6	N	N	1	both	*	23
contig_24	26181	4	N	N	1	both	*	24
contig_25	66787	6	N	N	1	both	*	25
contig_26	10881	7	N	N	1	both	*	26
contig_27	19370	4	N	N	1	both	*	27
contig_29	110952	6	N	N	1	both	*	29
contig_30	66803	7	N	N	1	both	*	30
contig_31	33116	4	N	N	1	both	*	31
contig_32	34755	6	N	N	1	both	*	32
contig_33	87525	6	N	N	1	both	*	33
contig_34	42704	5	N	N	1	both	*	34
contig_35	11009	3	N	N	1	both	*	35
contig_36	139286	5	N	N	1	both	*	36
contig_37	48076	6	N	N	1	both	*	37
contig_38	43019	6	N	N	1	both	*	38
contig_39	49846	4	N	N	1	both	*	39
contig_40	141514	6	N	N	1	both	*	40
contig_41	28077	4	N	N	1	both	*	41
contig_42	131426	7	N	N	1	both	*	42
contig_43	10391	3	N	N	1	both	*	43
contig_44	34167	4	N	N	1	both	*	44
contig_45	46535	5	N	N	1	both	*	45
contig_46	45283	4	N	N	1	both	*	46
contig_47	91528	5	N	N	1	both	*	47
contig_48	34975	6	N	N	1	both	*	48
contig_49	46972	6	N	N	1	both	*	49
contig_50	14082	4	N	N	1	both	*	50
contig_51	29869	3	N	N	1	both	*	51
contig_52	27479	4	N	N	1	both	*	52
contig_53	8294	4	N	N	1	both	*	53
contig_54	24496	5	N	N	1	both	*	54
contig_55	59182	5	N	N	1	both	*	55
contig_56	35757	5	N	N	1	both	*	56
contig_57	45629	7	N	N	1	both	*	57
contig_58	25777	5	N	N	1	both	*	58
contig_59	20073	4	N	N	1	both	*	59
contig_60	42306	5	N	N	1	both	*	60
contig_61	19365	6	N	N	1	both	*	61
contig_62	24161	4	N	N	1	both	*	62
contig_63	24254	7	N	N	1	both	*	63
contig_64	87213	7	N	N	1	both	*	64
contig_65	66839	5	N	N	1	both	*	65
contig_66	86008	7	N	N	1	both	*	66
contig_67	51442	6	N	N	1	both	*	67
contig_68	109717	6	N	N	1	both	*	68
contig_69	7990	3	N	N	1	both	*	69
contig_71	9428	3	N	N	1	both	*	71
contig_72	101005	7	N	N	1	both	*	72
contig_73	14169	5	N	N	1	both	*	73
contig_74	22582	4	N	N	1	both	*	74
contig_75	75503	4	N	N	1	both	*	75
contig_77	40676	6	N	N	1	both	*	77
contig_78	42861	5	N	N	1	both	*	78
contig_79	52239	6	N	N	1	both	*	79
contig_80	28557	4	N	N	1	both	*	80
contig_81	12899	3	N	N	1	both	*	81
