#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_144	302365	10	N	N	1	*	*,144,*
contig_330	199549	10	N	N	1	*	*,330,*
contig_236	193863	10	N	N	1	*	*,236,*
contig_314	165042	7	N	N	1	*	*,314,*
contig_245	156224	9	N	N	1	*	*,245,*
contig_40	150101	8	N	N	1	*	*,40,*
contig_36	147390	10	N	N	1	*	*,36,*
contig_277	140921	10	N	N	1	*	*,277,*
contig_42	139034	12	N	N	1	*	*,42,*
contig_290	136132	12	N	N	1	*	*,290,*
contig_19	133796	11	N	Y	2	*	*,19,*
contig_10	126230	10	N	N	1	*	*,10,*
contig_4	120035	11	N	N	1	*	*,4,*
contig_29	117432	10	N	N	1	*	*,29,*
contig_68	116412	9	N	N	1	*	*,68,*
contig_72	105901	11	N	N	1	*	*,72,*
contig_347	105751	11	N	N	1	*	*,347,*
contig_7	101623	13	N	Y	2	*	*,7,*
contig_20	97722	11	N	N	1	*	*,20,*
contig_47	97032	8	N	N	1	*	*,47,*
contig_105	95356	8	N	N	1	*	*,105,*
contig_332	94658	12	N	N	1	*	*,332,*
contig_164	92022	11	N	N	1	*	*,164,*
contig_33	91770	10	N	N	1	*	*,33,*
contig_66	91687	9	N	N	1	*	*,66,*
contig_64	91546	11	N	N	1	*	*,64,*
contig_335	90424	10	N	N	1	*	*,335,*
contig_179	88165	7	N	N	1	*	*,179,*
contig_181	87529	13	N	N	3	*	*,181,*
contig_1	85725	10	N	N	1	*	*,1,*
contig_95	81230	13	N	N	1	*	*,95,*
contig_75	80039	6	N	N	1	*	*,75,*
contig_215	79592	12	N	N	1	*	*,215,*
contig_130	78798	6	N	N	1	*	*,130,*
contig_6	77376	12	N	N	1	*	*,6,*
contig_267	75714	12	N	N	1	*	*,267,*
contig_11	75592	7	N	N	1	*	*,11,*
contig_150	73908	9	N	N	1	*	*,150,*
contig_324	73021	9	N	N	1	*	*,324,*
contig_25	71077	8	N	N	1	*	*,25,*
contig_65	70852	8	N	N	1	*	*,65,*
contig_30	70388	12	N	N	1	*	*,30,*
contig_16	70013	10	N	N	1	*	*,16,*
contig_287	69815	11	N	N	1	*	*,287,*
contig_157	69679	7	N	N	1	*	*,157,*
contig_87	67725	11	N	N	1	*	*,87,*
contig_252	67466	9	N	N	1	*	*,252,*
contig_344	65887	6	N	N	1	*	*,344,*
contig_17	65338	11	N	N	1	*	*,17,*
contig_92	64119	11	N	N	1	*	*,92,*
contig_336	63909	9	N	N	1	*	*,336,*
contig_318	62798	10	N	N	1	*	*,318,*
contig_341	62739	6	N	N	1	*	*,341,*
contig_55	62490	9	N	N	1	*	*,55,*
contig_201	61837	10	N	N	1	*	*,201,*
contig_343	60312	9	N	N	1	*	*,343,*
contig_13	59869	11	N	N	1	*	*,13,*
contig_94	59378	9	N	N	1	*	*,94,*
contig_85	59241	8	N	N	1	*	*,85,*
contig_273	57455	10	N	N	1	*	*,273,*
contig_79	55363	9	N	N	1	*	*,79,*
contig_349	54778	10	N	N	1	*	*,349,*
contig_84	54640	11	N	N	1	*	*,84,*
contig_67	54333	9	N	N	1	*	*,67,*
contig_100	53735	7	N	N	1	*	*,100,*
contig_12	53545	10	N	N	1	*	*,12,*
contig_257	53496	10	N	N	1	*	*,257,*
contig_126	53450	8	N	N	1	*	*,126,*
contig_103	53289	8	N	N	1	*	*,103,*
